symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
INTCUSDT,99,100,1660052700,1660054500,SHORT,TRAIL,35.1665,34.84636652,34.25183292,35.62383354,0.7568872764471002,0.6030979873431348,0.15378928910396542,15,2.93,30.09,0.3541416566626678,0.006962928198756009,2.0305855152908685,base,adaptive disabled,1.15,88.5,90,90,90,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 2.9x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,-1.0,range
AAPLUSDT,203,204,1660570200,1660572000,LONG,TRAIL,171.2315,171.93495641,173.24137544,170.22656228,1.0048196208857116,0.6640392986981886,0.3407803221875231,14,2.33,60.95,0.2235047219307456,0.0025853139007142784,1.1322150212835143,base,adaptive disabled,1.25,81.7,90,86,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.3x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.575,range
GOOGLUSDT,205,249,1660570200,1660673700,LONG,TRAIL,121.1615,122.34692486,124.54842817,119.46803592,0.6513930752160701,0.5082999899467326,0.14309308526933753,14,3.02,64.07,0.48119426134160104,0.005529058709754921,2.056034738342283,base,adaptive disabled,1.25,82.5,90,90,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 3.0x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.5,bull
AMZNUSDT,189,198,1660656600,1660665600,LONG,TRAIL,142.4315,144.187,144.50011391,141.39719304,2.127352145946294,1.851937775728774,0.27541437021751985,14,2.45,59.42,0.394101876675604,0.0050092540503621176,1.6208628480067335,base,adaptive disabled,1.25,84.5,90,100,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.5x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.55,range
AMZNUSDT,190,197,1660657500,1660664700,LONG,TP2,142.4315,144.187,144.2969272,141.4987864,2.0,1.694586848524563,0.305413151475437,15,2.2,59.89,0.3273809523809521,0.005752813663406693,1.8614591803039728,base,adaptive disabled,1.25,82.3,90,89,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.625,range
MRVLUSDT,310,311,1660919400,1660921200,SHORT,TRAIL,53.892,52.527,51.597,54.70038,1.534924092300825,1.4015907589674916,0.1333333333333334,15,1.62,33.94,0.5219298245614039,0.007736784311386018,1.2214614019857974,base,adaptive disabled,1.15,78.5,90,100,50,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.6x | FVG | ChoCH | BearWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.6,bull
MSFTUSDT,364,365,1661265000,1661266800,SHORT,TRAIL,277.9365,276.61229029,274.1530437,279.82822815,0.9593798795848123,0.6655358618806749,0.2938440177041374,15,1.72,38.98,0.17299375300336087,0.004919066549633563,2.1337065112129734,base,adaptive disabled,1.0,72.5,90,70,50,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | BearWick | StochCross | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | BearWick+1 | StochCross+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1,0,0.575,bear
MUUSDT,387,388,1661347800,1661349600,SHORT,TRAIL,58.1915,57.71123944,56.81932698,58.87758651,0.8529634924192171,0.6833303655413843,0.16963312687783288,15,2.86,36.75,0.3598108747044906,0.006577839737957743,1.605320423354278,base,adaptive disabled,1.15,84.5,90,100,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 2.9x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.725,range
METAUSDT,464,471,1661543100,1661786100,SHORT,TRAIL,162.2115,159.726,157.345155,164.6446725,1.0417883783842887,0.9084550450509561,0.1333333333333327,19,1.94,28.67,0.5107913669064779,0.0038075151292552532,0.9419481377110045,base,adaptive disabled,1.15,84.5,90,100,70,80,CLOSE,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | LiqSweep | ChoCH | Engulfing | BearWick | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 19 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BearWick+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | NestedOB_1h+2 | QualityRisk:1.15,0,0.575,bull
GOOGLUSDT,465,469,1661779800,1661784300,SHORT,TRAIL,110.7565,109.59355675,107.433805,112.4178475,0.9341242421635699,0.8007909088302358,0.13333333333333408,14,1.89,29.25,0.30993807136538165,0.007757052172975257,2.245231358008736,base,adaptive disabled,1.15,81.9,90,87,70,80,OPEN,bearish,bearish,FVG,BOS bearish | Vol 1.9x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.575,bear
