symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
INTCUSDT,145,152,1658947500,1659017700,LONG,SL,39.7315,40.567,40.636,39.28114513,-1.0,-1.2646679495216748,0.26466794952167494,15,1.88,66.61,0.1557195571955704,0.005710084308344014,1.5893472962116526,base,adaptive disabled,1.25,74.1,90,78,50,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 1.9x | FVG | ChoCH | BullWick | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.475,range
INTCUSDT,146,152,1658948400,1659017700,LONG,SL,39.7315,40.567,40.636,39.28042048,-1.0,-1.2642427658874866,0.26424276588748674,14,1.5,70.86,0.42988505747126443,0.0062831926191450746,1.7368794235251699,base,adaptive disabled,1.25,84.5,90,100,70,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.45,bull
MSFTUSDT,151,152,1658951100,1659015900,LONG,TRAIL,266.4965,270.4939475,274.491395,262.4990525,0.7565521297921728,0.5565521297921738,0.19999999999999896,14,1.72,70.28,0.37021514389494126,0.005517865578516627,1.3872300314986816,base,adaptive disabled,1.15,78.5,90,100,50,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 1.7x | FVG | ChoCH | BullWick | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | TrendPairRisk:1.15,0,0.325,range
MSFTUSDT,152,154,1659015000,1659017700,LONG,TRAIL,266.4965,270.4939475,274.491395,262.4990525,1.179385746567863,0.979385746567864,0.19999999999999896,14,2.2,69.64,0.3037697363450883,0.007562530921842159,1.901273211468328,base,adaptive disabled,1.15,81.7,90,86,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.2x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | TrendPairRisk:1.15,0,0.3,range
AAPLUSDT,153,157,1659016800,1659021300,LONG,TRAIL,154.9865,156.58442349,158.18234697,153.38857651,1.120374639437345,0.8293973161113075,0.2909773233260375,15,1.5,55.67,0.2228192161820494,0.008220192662134976,3.07981218361313,base,adaptive disabled,1.25,71.7,90,66,50,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.65,bull
MRVLUSDT,152,176,1659016800,1659102300,LONG,TP2,52.257,54.527,54.587,51.473145,2.9724885342314824,2.7724885342314813,0.20000000000000112,15,2.33,61.28,0.220994475138122,0.014882346730599528,2.403359474995873,base,adaptive disabled,1.25,79.7,90,76,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.3x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.275,range
GOOGLUSDT,178,194,1659037500,1659115800,LONG,TRAIL,113.532,115.387,116.93796,111.82902,1.221241771565379,1.0212417715653785,0.2000000000000004,16,2.57,66.56,0.4128759632115315,0.0030067532959693597,0.6431167840740527,base,adaptive disabled,1.15,76.8,65,90,80,80,CLOSE,bullish,neutral,OB,BOS bullish | Vol 2.6x | FVG | OB | ChoCH | BullWick | Session:CLOSE | StrongTrend1h | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15,0,0.45,range
GOOGLUSDT,180,199,1659102300,1659120300,LONG,TRAIL,114.396,116.11194,117.82788,112.68006,0.9862334119947114,0.7862334119947118,0.1999999999999996,15,2.97,67.34,0.24602066461881847,0.008290937275990484,1.7733549756285103,base,adaptive disabled,1.15,82.3,90,89,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 3.0x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | TrendPairRisk:1.15,0,0.475,range
MRVLUSDT,177,189,1659102300,1659114000,LONG,TRAIL,53.937,54.746055,55.55511,53.127945,1.0149743704007002,0.8149743704007004,0.1999999999999998,16,1.92,66.44,0.1932203389830503,0.015849449131515852,2.6585965032311267,base,adaptive disabled,1.25,73.1,90,73,50,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 1.9x | FVG | LiqSweep | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.4,range
GOOGLUSDT,204,230,1659123900,1659447000,LONG,SL,115.7715,117.5080725,119.244645,114.0349275,-1.0,-1.199999999999999,0.19999999999999907,15,2.44,69.62,0.49605133267522256,0.0037280012202213987,1.0164097264792549,base,adaptive disabled,1.25,84.5,90,100,70,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | BullWick | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.45,range
