symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,size_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,bos_extension_atr,bos_candles_ago,overhead_atr,underfoot_atr,buy_pressure,accel_ratio,absorption,signals,score_tags,premium,knn_score,swing_trend
MSTRUSDT,75,77,1781620200,1781622900,SHORT,TRAIL,128.945,127.010825,123.142475,130.879175,1.6089587475470941,1.4756254142137615,0.1333333333333326,14,1.48,34.94,0.3857998289135979,0.020018167187697555,4.40866768697397,base,adaptive disabled,1.0,1.0,68.2,55,80,70,80,OPEN,bearish,neutral,FVG,3.445,9,4.723,-1.0,-0.1607,2.366,0.761,BOS bearish | Vol 1.5x | FVG | LiqSweep | ChoCH | Session:OPEN | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN,0,-1.0,range
SOXLUSDT,75,75,1781620200,1781621100,SHORT,TP2,266.1,262.1085,254.1255,270.0915,4.500000000000043,4.300000000000042,0.20000000000000134,14,3.9,29.91,0.4382716049382693,0.03531420146037006,5.430539424574561,base,adaptive disabled,1.0,1.5,68.2,55,80,70,80,OPEN,bearish,neutral,FVG,1.452,5,-1.0,-1.0,-0.1141,0.0,1.55,BOS bearish | Vol 3.9x | FVG | LiqSweep | ChoCH | Engulfing | Session:OPEN | Zone:FVG | MTF 14,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OPEN,0,-1.0,range
AAPLUSDT,78,86,1781622900,1781631000,LONG,TRAIL,296.98,299.79347104,305.42041311,294.16652896,1.905614687890701,1.588945354056011,0.3166693338346899,13,2.71,71.58,0.36348408710218894,0.0031284238747430106,3.0861901524349054,base,adaptive disabled,1.0,1.5,68.2,55,80,70,80,MIDDAY,bullish,neutral,FVG,1.792,6,-1.0,3.367,-0.0048,0.0,1.665,BOS bullish | Vol 2.7x | FVG | ChoCH | BullWick | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:MIDDAY,0,-1.0,bear
BZUSDT,126,142,1781666100,1781681400,SHORT,TRAIL,78.745,77.85885316,76.08655947,79.63114684,1.4065740949494947,1.1399873518313888,0.266586743118106,13,2.43,29.07,0.5973154362416132,0.002287058168925256,0.793509747306352,base,adaptive disabled,1.15,1.5,76.2,55,90,90,80,OFF,bearish,neutral,FVG,1.928,6,22.245,1.977,-0.1361,10.0,3.517,BOS bearish | Vol 2.4x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF | QualityRisk:1.15,0,0.75,range
MSTRUSDT,145,149,1781683200,1781687700,SHORT,TRAIL,124.14,122.44,120.52353047,125.34548984,1.2361617301038186,1.030203959443553,0.20595777066026563,14,1.79,35.5,0.29936305732483864,0.004046237769372282,1.1193691997990505,base,adaptive disabled,1.15,1.0,71.2,55,95,70,80,OFF,bearish,neutral,FVG,1.466,6,3.524,0.713,0.2273,0.0,1.291,BOS bearish | Vol 1.8x | FVG | LiqSweep | ChoCH | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF | QualityRisk:1.15,0,0.55,bull
CRCLUSDT,148,158,1781685900,1781695800,SHORT,TRAIL,80.28,79.43039213,78.77,81.12960787,0.9821185921853607,0.7931372919062095,0.1889813002791512,13,2.62,33.18,0.45177664974618365,0.004119978162101737,1.5095974529428853,base,adaptive disabled,1.0,1.0,72.2,55,100,70,80,OFF,bearish,neutral,FVG,1.218,1,3.689,1.97,-0.2462,1.472,2.612,BOS bearish | Vol 2.6x | FVG | ChoCH | Zone:FVG | MTF 13,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF,0,0.6,range
TSLAUSDT,160,162,1781696700,1781699400,SHORT,TRAIL,403.555,401.77244825,398.20734476,405.33755175,1.4881463778572337,1.035362889243224,0.45278348861400974,13,1.87,33.41,0.2566929133858297,0.0020110030093657993,1.845003851865889,base,adaptive disabled,1.15,1.0,68.2,55,80,70,80,OFF,bearish,neutral,FVG,1.74,1,4.178,2.146,-0.3828,0.0,0.937,BOS bearish | Vol 1.9x | FVG | ChoCH | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF | QualityRisk:1.15,0,0.375,range
MSFTUSDT,168,170,1781703900,1781706600,SHORT,TRAIL,391.5,388.79343659,383.38030976,394.20656341,1.9302729712067044,1.496327845199108,0.4339451260075963,14,3.99,33.07,0.4289473684210566,0.005514247975620324,5.888173601860428,base,adaptive disabled,1.0,1.5,74.2,55,80,90,80,OPEN,bearish,neutral,FVG,2.192,6,5.544,-1.0,0.1143,2.396,1.955,BOS bearish | Vol 4.0x | FVG | ChoCH | Session:OPEN | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN,0,0.55,bear
AMZNUSDT,185,264,1781719200,1781791200,SHORT,TRAIL,240.175,236.572375,229.367125,243.777625,1.3568879825498306,1.15688798254983,0.20000000000000062,14,5.36,31.03,0.6220338983050829,0.004247001944611328,2.180393102522951,base,adaptive disabled,1.0,1.5,79.8,65,90,90,80,MIDDAY,bearish,neutral,FVG,7.68,9,9.879,-1.0,-0.3403,0.143,2.37,BOS bearish | Vol 5.4x | FVG | StochCross | StrongTrend1h | Zone:FVG | MTF 14,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | FVG+1 | StochCross+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1,0,0.575,bear
MSFTUSDT,185,191,1781719200,1781725500,SHORT,TRAIL,385.645,379.860325,368.290975,391.429675,1.9481543586344627,1.7481543586344623,0.20000000000000023,13,1.87,28.8,0.43462017434620126,0.0037773794353341793,2.3982703885892147,base,adaptive disabled,1.0,1.5,73.8,65,90,70,80,MIDDAY,bearish,neutral,FVG,1.279,6,10.181,-1.0,-0.1491,0.723,0.764,BOS bearish | Vol 1.9x | FVG | StochCross | StrongTrend1h | Zone:FVG | MTF 13,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | BTC+2 | FVG+1 | StochCross+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1,0,0.65,bear
